station_id,line,name_zh,exit_id,latitude,longitude
BL01,板南線,頂埔,1,24.959327,121.418336
BL01,板南線,頂埔,2,24.95931,121.419
BL01,板南線,頂埔,3,24.959503,121.41928
BL01,板南線,頂埔,4,24.96039,121.4201
BL02,板南線,永寧,1,24.966714,121.435254
BL02,板南線,永寧,2,24.966019,121.435795
BL02,板南線,永寧,3,24.967252,121.437111
BL02,板南線,永寧,4,24.967191,121.436412
BL03,板南線,土城,1,24.973251,121.444173
BL03,板南線,土城,2,24.972663,121.443671
BL03,板南線,土城,3,24.973714,121.445266
BL04,板南線,海山,1,24.985388,121.44861
BL04,板南線,海山,2,24.985333,121.448871
BL04,板南線,海山,3,24.98609,121.449127
BL05,板南線,亞東醫院,1,24.998933,121.452581
BL05,板南線,亞東醫院,2,24.998252,121.452388
BL05,板南線,亞東醫院,3,24.998875,121.45287
BL06,板南線,府中,1,25.008486,121.459077
BL06,板南線,府中,2,25.008943,121.459501
BL06,板南線,府中,3,25.009162,121.45897
BL07,板南線,板橋,1,25.013314,121.461838
BL07,板南線,板橋,2,25.013221,121.462603
BL07,板南線,板橋,3,25.014442,121.462653
BL08,板南線,新埔,1,25.023087,121.467496
BL08,板南線,新埔,2,25.0222,121.468176
BL08,板南線,新埔,3,25.022942,121.468562
BL08,板南線,新埔,4,25.023638,121.468728
BL08,板南線,新埔,5,25.024163,121.468138
BL09,板南線,江子翠,1,25.030298,121.471914
BL09,板南線,江子翠,2,25.029782,121.471903
BL09,板南線,江子翠,3,25.029459,121.472156
BL09,板南線,江子翠,4,25.029763,121.472719
BL09,板南線,江子翠,5,25.031027,121.473609
BL09,板南線,江子翠,6,25.031095,121.473126
BL10,板南線,龍山寺,1,25.035484,121.49953
BL10,板南線,龍山寺,2,25.035109,121.499798
BL10,板南線,龍山寺,3,25.035421,121.501622
BL11,板南線,西門,1,25.042137,121.507566
BL11,板南線,西門,2,25.041545,121.508435
BL11,板南線,西門,3,25.041789,121.508888
BL11,板南線,西門,4,25.042203,121.509006
BL11,板南線,西門,5,25.042935,121.508789
BL11,板南線,西門,6,25.042573,121.507602
BL12,板南線,台北車站,,25.046485,121.517345
BL12,板南線,台北車站,,25.045815,121.517573
BL12,板南線,台北車站,,25.046337,121.517882
BL12,板南線,台北車站,,25.046234,121.516787
BL12,板南線,台北車站,,25.048159,121.51908
BL12,板南線,台北車站,,25.046077,121.518643
BL12,板南線,台北車站,,25.046755,121.516246
BL12,板南線,台北車站,,25.048232,121.518193
BL13,板南線,善導寺,1,25.045097,121.523009
BL13,板南線,善導寺,2,25.044752,121.523038
BL13,板南線,善導寺,3,25.044568,121.523734
BL13,板南線,善導寺,4,25.044111,121.524217
BL13,板南線,善導寺,5,25.044256,121.52482
BL13,板南線,善導寺,6,25.044632,121.524898
BL14,板南線,忠孝新生,1,25.042784,121.531829
BL14,板南線,忠孝新生,2,25.042103,121.532065
BL14,板南線,忠孝新生,3,25.041783,121.53368
BL14,板南線,忠孝新生,4,25.042458,121.533213
BL14,板南線,忠孝新生,5,25.041214,121.532232
BL14,板南線,忠孝新生,6,25.040791,121.533068
BL14,板南線,忠孝新生,7,25.041729,121.533068
BL15,板南線,忠孝復興,1,25.041797,121.543143
BL15,板南線,忠孝復興,2,25.041458,121.543479
BL15,板南線,忠孝復興,3,25.041467,121.544806
BL15,板南線,忠孝復興,4,25.041772,121.54506
BL15,板南線,忠孝復興,5,25.04202,121.543985
BL16,板南線,忠孝敦化,1,25.041642,121.550578
BL16,板南線,忠孝敦化,2,25.041632,121.551694
BL16,板南線,忠孝敦化,3,25.04134,121.551586
BL16,板南線,忠孝敦化,4,25.04135,121.550567
BL16,板南線,忠孝敦化,5,25.041238,121.549824
BL16,板南線,忠孝敦化,6,25.041029,121.549174
BL16,板南線,忠孝敦化,7,25.041661,121.549913
BL16,板南線,忠孝敦化,8,25.041928,121.549194
BL17,板南線,國父紀念館,1,25.041781,121.556651
BL17,板南線,國父紀念館,2,25.041029,121.556704
BL17,板南線,國父紀念館,3,25.041163,121.557964
BL17,板南線,國父紀念館,4,25.04117,121.558539
BL17,板南線,國父紀念館,5,25.041501,121.558002
BL18,板南線,市政府,1,25.041408,121.565459
BL18,板南線,市政府,2,25.040971,121.565062
BL18,板南線,市政府,3,25.040903,121.567149
BL18,板南線,市政府,4,25.041263,121.567181
BL19,板南線,永春,1,25.040995,121.57512
BL19,板南線,永春,2,25.040709,121.575316
BL19,板南線,永春,3,25.040704,121.576155
BL19,板南線,永春,4,25.040699,121.576574
BL19,板南線,永春,5,25.040961,121.576622
BL20,板南線,後山埤,1,25.044422,121.58141
BL20,板南線,後山埤,2,25.043703,121.581854
BL20,板南線,後山埤,3,25.045232,121.583277
BL20,板南線,後山埤,4,25.045606,121.582478
BL21,板南線,昆陽,1,25.050319,121.592726
BL21,板南線,昆陽,2,25.050402,121.592825
BL21,板南線,昆陽,3,25.050599,121.59363
BL21,板南線,昆陽,4,25.050572,121.593799
BL22,板南線,南港,1,25.051911,121.606357
BL22,板南線,南港,2,25.052025,121.60743
BL23,板南線,南港展覽館,,25.05524,121.617043
BL23,板南線,南港展覽館,1,25.055784,121.617074
BL23,板南線,南港展覽館,2,25.055308,121.616984
BL23,板南線,南港展覽館,3,25.055123,121.618239
BL23,板南線,南港展覽館,4,25.055356,121.618263
BL23,板南線,南港展覽館,5,25.054917,121.616861
BL23,板南線,南港展覽館,6,25.054739,121.618183
BL23,板南線,南港展覽館,7,25.054035,121.618148
BR01,文湖線,動物園,1,24.998299,121.579942
BR01,文湖線,動物園,2,24.997971,121.579321
BR02,文湖線,木柵,0,24.998174,121.573417
BR03,文湖線,萬芳社區,0,24.99864,121.568452
BR04,文湖線,萬芳醫院,0,24.999383,121.557737
BR05,文湖線,辛亥,0,25.005119,121.557021
BR06,文湖線,麟光,0,25.018554,121.558606
BR07,文湖線,六張犁,0,25.023852,121.552737
BR08,文湖線,科技大樓,0,25.026154,121.543636
BR09,文湖線,大安,1,25.033602,121.542
BR09,文湖線,大安,2,25.033649,121.54159
BR09,文湖線,大安,3,25.033241,121.54233
BR09,文湖線,大安,4,25.033172,121.544012
BR09,文湖線,大安,5,25.032911,121.543882
BR09,文湖線,大安,6,25.034182,121.543755
BR10,文湖線,忠孝復興,1,25.041797,121.543143
BR10,文湖線,忠孝復興,2,25.041458,121.543479
BR10,文湖線,忠孝復興,3,25.041467,121.544806
BR10,文湖線,忠孝復興,4,25.041772,121.54506
BR10,文湖線,忠孝復興,5,25.04202,121.543985
BR11,文湖線,南京復興,1,25.052625,121.542121
BR11,文湖線,南京復興,2,25.051748,121.541863
BR11,文湖線,南京復興,3,25.051719,121.543237
BR11,文湖線,南京復興,4,25.051719,121.543237
BR11,文湖線,南京復興,5,25.051687,121.544594
BR11,文湖線,南京復興,6,25.052057,121.544908
BR11,文湖線,南京復興,7,25.052487,121.544592
BR11,文湖線,南京復興,8,25.052018,121.543819
BR12,文湖線,中山國中,0,25.060889,121.544031
BR13,文湖線,松山機場,1,25.063631,121.552043
BR13,文湖線,松山機場,2,25.063535,121.550987
BR13,文湖線,松山機場,3,25.063171,121.551841
BR14,文湖線,大直,1,25.080361,121.546926
BR14,文湖線,大直,2,25.079584,121.546823
BR14,文湖線,大直,3,25.07931,121.546901
BR15,文湖線,劍南路,1,25.085174,121.555226
BR15,文湖線,劍南路,2,25.084754,121.555097
BR15,文湖線,劍南路,3,25.084484,121.556098
BR16,文湖線,西湖,1,25.082339,121.566647
BR16,文湖線,西湖,2,25.082023,121.567141
BR17,文湖線,港墘,1,25.080152,121.57556
BR17,文湖線,港墘,2,25.080065,121.574704
BR18,文湖線,文德,1,25.078781,121.585702
BR18,文湖線,文德,2,25.078408,121.58447
BR19,文湖線,內湖,1,25.083745,121.594266
BR19,文湖線,內湖,2,25.083636,121.594612
BR20,文湖線,大湖公園,1,25.083894,121.602377
BR20,文湖線,大湖公園,2,25.083675,121.60221
BR21,文湖線,葫洲,1,25.07251,121.608068
BR21,文湖線,葫洲,2,25.072534,121.607197
BR22,文湖線,東湖,1,25.067189,121.610899
BR22,文湖線,東湖,2,25.067111,121.611239
BR22,文湖線,東湖,3,25.067053,121.611724
BR23,文湖線,南港軟體園區,1,25.059995,121.615817
BR23,文湖線,南港軟體園區,2,25.059883,121.616091
BR24,文湖線,南港展覽館,,25.05524,121.617043
BR24,文湖線,南港展覽館,1,25.055784,121.617074
BR24,文湖線,南港展覽館,2,25.055308,121.616984
BR24,文湖線,南港展覽館,3,25.055123,121.618239
